Genus,Label,Type,Value,Unit,file,site,surber,date,ln_a,b,base,logdw,dw
Acari,Acari,Distance,0.73,mm,Coal--_s1a_04-02-16.csv,Coal,s1,04-02-16,-5,2.5,2.718281828,-5.786776862,3.07E-06
Acari,Acari,Distance,0.73,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-5.786776862,3.07E-06
Acari,Acari,Distance,0.39,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-7.35402135,6.40E-07
Acari,Acari,Distance,1.1,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-4.76172455,8.55E-06
Acari,Acari,Distance,0.43,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-7.109925176,8.17E-07
Acari,Acari,Distance,0.57,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-6.405297296,1.65E-06
Acari,Acari,Distance,0.91,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-5.235776699,5.32E-06
Acari,Acari,Distance,0.45,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-6.996269241,9.15E-07
Acari,Acari,Distance,0.58,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-6.361817939,1.73E-06
Acari,Acari,Distance,0.78,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-5.621153398,3.62E-06
Acari,Acari,Distance,0.51,mm,Coal--_s3c_04-02-16.csv,Coal,s3,04-02-16,-5,2.5,2.718281828,-6.683361383,1.25E-06
Acari,Acari,Distance,0.77,cm,Coal--_s2a_04-02-16.csv,Coal,s2,04-02-16,-5,2.5,2.718281828,-5.65341191,3.51E-06
Acari,Acari,Distance,0.67,mm,Garvey_s2a_05-02-16.csv,Garvey,s2,05-02-16,-5,2.5,2.718281828,-6.001193917,2.48E-06
Acari,Acari,Distance,0.44,mm,Garvey_s3a_05-02-16.csv,Garvey,s3,05-02-16,-5,2.5,2.718281828,-7.052451381,8.65E-07
